Title,Price,Location,Link
"Lift , Covered Car parking , CCTV facility,  Gated Community","₹ 54,16,500","Thoraipakkam, Chennai",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-942-sq-ft-in-thoraipakkam-chennai-iid-1790552159
2 bhk apartment with 2 attached bathroom with covered car parking,"₹ 13,000","SA Nagar, Karaikal",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1000-sq-ft-in-sa-nagar-karaikal-iid-1809488776
50 Gaj Double Story Home with covered car Parking Near Badarpur Metro,"₹ 45,50,000","Ashram, Delhi",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-450-sq-ft-in-ashram-delhi-iid-1811362489
Covered Car Parking on rent at a reasonable price,"₹ 6,000","Maula Ali, Kolkata",https://www.olx.in/item/kitchen-other-appliances-c1417-covered-car-parking-on-rent-at-a-reasonable-price-in-maula-ali-kolkata-iid-1810560051
3BHK SUPER SPACIOUS VERY BIG FLAT FOR SALE WITH 2 COVERED CAR PARKING,"₹ 1,99,00,000","Mira Road, Mumbai",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1800-sq-ft-in-mira-road-mumbai-iid-1808973820
3Bed with Covered Car Parking and Lift in Shakti Khand-4,"₹ 1,29,00,000","Indirapuram Shakti Khand 4, Ghaziabad",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-builder-floors-1450-sq-ft-in-indirapuram-shakti-khand-4-ghaziabad-iid-1761656783
Brembo brake caliper covers all colours available for all cars,₹ 699,"Begumpet, Hyderabad",https://www.olx.in/item/spare-parts-c1585-brembo-brake-caliper-covers-all-colours-available-for-all-cars-in-begumpet-hyderabad-iid-1805724400
Kwid car wheel covers 2 pcs,₹ 700,"Babul Reddy Nagar, Hyderabad",https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-babul-reddy-nagar-hyderabad-iid-1811419943
Seltos GT Line brand new car seat covers,"₹ 4,000","Renuka Gated Colony, Anantapur",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-renuka-gated-colony-anantapur-iid-1811415923
SMALL CAR COVER,₹ 400,"Puthur, Chennai",https://www.olx.in/item/other-household-items-c293-small-car-cover-in-puthur-chennai-iid-1810256718
Kilambakkam 2 BHK Flat for Sale with Covered Car Parking,"₹ 34,00,000","Urapakkam, Chennai",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1120-sq-ft-in-urapakkam-chennai-iid-1810008790
2bhk ready to move flat+2toilet+ 1 covered  car parking and lift,"₹ 48,00,000","Sector 49, Noida",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1100-sq-ft-in-sector-49-noida-iid-1809890439
2BHK house with covered car parking for rent in east tambaram,"₹ 14,000","Irumbuliyur, Chennai",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-851-sq-ft-in-irumbuliyur-chennai-iid-1811386082
Madambakkam 1 BHK Flat for Sale with Covered Car Parking,"₹ 25,00,000","Guduvanchery, Chennai",https://www.olx.in/item/for-sale-houses-apartments-c1725-1-bhk-apartments-795-sq-ft-in-guduvanchery-chennai-iid-1811383701
Sholinganallur 2 BHK Flat for Sale with Covered Car Parking,"₹ 43,00,000","Sholinganallur, Chennai",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1000-sq-ft-in-sholinganallur-chennai-iid-1811380923
Swift car seat cover,"₹ 2,600","Cherukunnu, Parappur",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-cherukunnu-parappur-iid-1811375433
WagonR Car full cover,₹ 900,"Tambaram East Selaiyur, Tambaram",https://www.olx.in/item/other-household-items-c293-wagonr-car-full-cover-in-tambaram-east-selaiyur-tambaram-iid-1811371532
