Scheme Name	Asset Value
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	107.511
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	118.0233
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	104.6832
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	151.0298
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	113.8226
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	102.6458
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	113.601
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	103.7683
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	367.6968
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	551.9622
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	381.6014
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1035.7632
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2723.9541
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1032.8188
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1035.5905
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1035.6119
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2641.6833
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1032.8102
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1035.4612
Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW	10.9779
Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW	11.5471
Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth	11.4448
Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW	11.4448
Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth	11.5471
Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW	10.9079
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW	12.3458
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW	10.4644
